No,SMILES,Skeletons,FunctionalGroups1,FunctionalGroups2,LUMOs,Chemical_Hardness
0,COC(=O),*COC(*)=O,*,*,0.00007 ,0.18643 
1,C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.00409 ,0.19716 
2,C(=O)OCC=C,*COC(*)=O,*,*C=C,-0.00157 ,0.16494 
3,C(=O)OCC,*COC(*)=O,*,*C,-0.00041 ,0.18386 
4,C(=O)OCCC=C,*COC(*)=O,*,*CC=C,-0.00209 ,0.16177 
5,C(=O)OCOC(C)=O,*COC(*)=O,*,*OC(C)=O,-0.00417 ,0.18373 
6,C(=O)OCOC,*COC(*)=O,*,*OC,-0.00316 ,0.17905 
7,C(=O)OCOCOC,*COC(*)=O,*,*OCOC,-0.00485 ,0.17620 
8,C(=O)OCOC(=O)OC,*COC(*)=O,*,*OC(=O)OC,-0.00240 ,0.19050 
9,C(=O)OCC(=O)OC,*COC(*)=O,*,*C(=O)OC,-0.00474 ,0.18167 
10,C(=O)OCC#N,*COC(*)=O,*,*C#N,-0.00881 ,0.19468 
11,C(=O)OCN=C=O,*COC(*)=O,*,*N=C=O,-0.00690 ,0.18182 
12,C(=O)OCF,*COC(*)=O,*,*F,-0.00009 ,0.19451 
13,C(=O)OCCl,*COC(*)=O,*,*Cl,-0.00161 ,0.18885 
14,C(=O)OCBr,*COC(*)=O,*,*Br,-0.00487 ,0.17451 
15,C(=O)OCc1ccccc1,*COC(*)=O,*,*c1ccccc1,-0.00462 ,0.15581 
16,C(=O)OCc1cccs1,*COC(*)=O,*,*c1cccs1,-0.00375 ,0.14876 
17,C(=O)OCC(F)(F)F,*COC(*)=O,*,*C(F)(F)F,-0.00368 ,0.19569 
18,C(=O)OC[Si](C)(C)C,*COC(*)=O,*,*[Si](C)(C)C,-0.00962 ,0.17402 
19,C(=O)OCCCC,*COC(*)=O,*,*CCC,-0.00110 ,0.18285 
20,C(=O)OCNC(C)=O,*COC(*)=O,*,*NC(C)=O,-0.01477 ,0.16448 
21,C(=O)OCC#C,*COC(*)=O,*,*C#C,-0.00125 ,0.17346 
22,C(=O)OCC=CC(=O)OC,*COC(*)=O,*,*C=CC(=O)OC,-0.01861 ,0.16303 
23,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*,-0.01416 ,0.19171 
24,O=C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.02690 ,0.19521 
25,C=CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C=C,-0.01249 ,0.17099 
26,CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C,-0.01270 ,0.19138 
27,C=CCCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*CC=C,-0.01126 ,0.16019 
28,CC(=O)OCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*OC(C)=O,-0.01149 ,0.18625 
29,COCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*OC,-0.01782 ,0.18001 
30,COCOCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*OCOC,-0.01539 ,0.17624 
31,COC(=O)OCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*OC(=O)OC,-0.02035 ,0.19074 
32,COC(=O)COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C(=O)OC,-0.01910 ,0.18366 
33,N#CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C#N,-0.03154 ,0.19233 
34,O=C=NCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*N=C=O,-0.02683 ,0.17987 
35,O=C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCF,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*F,-0.02616 ,0.19358 
36,O=C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCl,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*Cl,-0.02821 ,0.18146 
37,O=C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCBr,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*Br,-0.03226 ,0.16465 
38,O=C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCc1ccccc1,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*c1ccccc1,-0.01116 ,0.15650 
39,O=C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCc1cccs1,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*c1cccs1,-0.01654 ,0.14760 
40,O=C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C(F)(F)F,-0.02985 ,0.19174 
41,C[Si](C)(C)COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*[Si](C)(C)C,-0.01343 ,0.17194 
42,CCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*CCC,-0.00961 ,0.19180 
43,CC(=O)NCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*NC(C)=O,-0.02096 ,0.16786 
44,C#CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C#C,-0.01373 ,0.17452 
45,COC(=O)C=CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C=CC(=O)OC,-0.02676 ,0.16395 
46,COC(=O)C=C,*COC(*)=O,*C=C,*,-0.01930 ,0.16599 
47,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C=C,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.03655 ,0.16506 
48,C=CCOC(=O)C=C,*COC(*)=O,*C=C,*C=C,-0.01973 ,0.15803 
49,C=CC(=O)OCC,*COC(*)=O,*C=C,*C,-0.01840 ,0.16569 
50,C=CC(=O)OCCC=C,*COC(*)=O,*C=C,*CC=C,-0.02024 ,0.15281 
51,C=CC(=O)OCOC(C)=O,*COC(*)=O,*C=C,*OC(C)=O,-0.02415 ,0.16636 
52,C=CC(=O)OCOC,*COC(*)=O,*C=C,*OC,-0.02207 ,0.16241 
53,C=CC(=O)OCOCOC,*COC(*)=O,*C=C,*OCOC,-0.02312 ,0.16222 
54,C=CC(=O)OCOC(=O)OC,*COC(*)=O,*C=C,*OC(=O)OC,-0.02554 ,0.16629 
55,C=CC(=O)OCC(=O)OC,*COC(*)=O,*C=C,*C(=O)OC,-0.02620 ,0.16554 
56,C=CC(=O)OCC#N,*COC(*)=O,*C=C,*C#N,-0.03706 ,0.16595 
