No,SMILES,Skeletons,FunctionalGroups1,FunctionalGroups2,LUMOs,Chemical_Hardness
0,C#C,*C#C*,*,*,0.00797,0.18317
1,FC=CF,*C=C*,*F,*F,0.00702,0.17021
2,FC#CF,*C#C*,*F,*F,0.00522,0.18315
3,C=CF,*C=C*,*,*F,0.00382,0.16963
4,FC=CCl,*C=C*,*F,*Cl,0.00373,0.1642
5,ClC#CCl,*C#C*,*Cl,*Cl,0.00367,0.16674
6,C#CC#CF,*C#C*,*F,*C#C,0.00358,0.16561
7,FC#CCl,*C#C*,*F,*Cl,0.00324,0.17308
8,ClC=CCl,*C=C*,*Cl,*Cl,0.00268,0.16097
9,C#CCl,*C#C*,*,*Cl,0.00256,0.17221
10,C(C),*C(*)C,*,*,0.00233,0.20261
11,C=CC,*C=C*,*,*C,0.00221,0.15912
12,C=CCC=C,*C=C*,*,*CC=C,0.00212,0.15879
13,CC=CC,*C=C*,*C,*C,0.00194,0.15026
14,C=CBr,*C=C*,*,*Br,0.00187,0.15967
15,C=C(F)Br,*C(*)=C,*F,*Br,0.00176,0.16405
16,C#CF,*C#C*,*,*F,0.00172,0.18039
17,C=CCl,*C=C*,*,*Cl,0.00167,0.16376
18,C(C)C,*C(*)C,*,*C,0.00157,0.19395
19,C(C)C=C,*C(*)C,*,*C=C,0.0015,0.15869
20,C=CC=CC,*C=C*,*C=C,*C,0.00147,0.14033
21,FC=CBr,*C=C*,*F,*Br,0.00121,0.15954
22,C(C)CC=C,*C(*)C,*,*CC=C,0.00096,0.15783
23,CC=CCCC,*C=C*,*C,*CCC,0.0009,0.14941
24,C(C)CCC,*C(*)C,*,*CCC,0.00078,0.18572
25,C=CCC=CC,*C=C*,*C,*CC=C,0.00076,0.15134
26,C=CC(C)C=C,*C(*)C,*C=C,*C=C,0.00069,0.1571
27,C=CC(C)C,*C(*)C,*C=C,*C,0.00064,0.15824
28,C=CCC=CCC=C,*C=C*,*CC=C,*CC=C,0.00052,0.15234
29,C=CC(C)CC=C,*C(*)C,*C=C,*CC=C,0.00049,0.15558
30,C#CBr,*C#C*,*,*Br,0.00043,0.16705
31,C=CC(C)OC,*C(*)C,*C=C,*OC,0.00028,0.16462
32,C(C)OC,*C(*)C,*,*OC,0.00023,0.16522
33,C(OC)OC,*C(*)(OC)OC,*,*,0.00022,0.17506
34,FC#CBr,*C#C*,*F,*Br,0.00016,0.1673
35,COC(=O),*COC(*)=O,*,*,0.00007,0.18643
36,C=COC,*C=C*,*,*OC,0.00004,0.14765
37,C=CCC=CCCC,*C=C*,*CC=C,*CCC,0.00002,0.15056
38,C=CC(C)OCOC,*C(*)C,*C=C,*OCOC,0.00001,0.16561
39,C=CC(C=C)(OC)OC,*C(*)(OC)OC,*C=C,*C=C,-0.00007,0.1591
40,C(=O)OCF,*COC(*)=O,*,*F,-0.00009,0.19451
